tidn,buyercod,sellercod,odat,odai,onum,onai,ldat,term,desig2,wcat,desc,coprod,nrdel,nrdelai,delyears,buyer,seller,status,tivunit,tivorder,tivdel
51582,ALB,FRA,2009,,4,,2014,N/A,AS-532 Cougar/AS-332,AC,transport helicopter,L,4,,2012-2014,Albania,France,N,7.25,29,29
59692,ALG,FRA,2012,,2,,2016,N/A,BlueMaster,GR,ASW sonar,L,2,,2016,Algeria,France,N,10,20,20
60492,ALG,FRA,2014,X,3,X,2016,N/A,FLASH,GR,ASW sonar,L,3,,2016,Algeria,France,N,2,6,6
62294,ALG,FRA,2018,,20,,2021,N/A,FPB-98,SH,patrol craft,L,20,X,2019-2021,Algeria,France,N,6.5,130,130
66411,ALG,FRA,2020,X,2,X,0,VIA,ship engine,EN,ship engine,,,,,Algeria,France,N,2.5,5,0
65178,ANG,FRA,2021,X,2,,0,N/A,CMN LCT,SH,landing ship,,,,,Angola,France,N,0,0,0
60377,ANG,FRA,2016,,3,X,2019,N/A,HSI-32,SH,patrol craft,L,3,X,2019,Angola,France,N,5,15,15
65972,ANG,FRA,2022,X,3,,0,N/A,Ocean Eagle-43,SH,patrol craft,L,1,,2022,Angola,France,N,11,33,11
61761,ARG,FRA,2017,,8,,2019,N/A,Atar-8,EN,turbojet,,8,X,2019,Argentina,France,S,0.4,3.2,3.2
60002,ARG,FRA,2018,,3,,2022,N/A,Gowind,SH,OPV,,3,,2021-2022,Argentina,France,N,20.5,61.5,61.5
62289,ARG,FRA,2018,,1,,2019,N/A,Gowind,SH,OPV,L,1,,2019,Argentina,France,S,12,12,12
59279,ARG,FRA,2014,X,5,X,2015,N/A,Ground Observer-80,GR,ground surv radar,,5,X,2015,Argentina,France,N,0.75,3.75,3.75
61445,ARG,FRA,2017,,5,,2019,N/A,Super Etendard,AC,FGA aircraft,L,5,,2019,Argentina,France,S,4,20,20
59023,ARG,FRA,2013,X,1,,2016,N/A,Vigile-200,GR,SIGINT system,,1,,2016,Argentina,France,N,7.5,7.5,7.5
58885,AUS,FRA,2015,,2,,2019,N/A,air refuel system,OT,air refuel system,L,2,,2018-2019,Australia,France,N,10,20,20
57112,AUS,FRA,2011,,24,,2016,N/A,FLASH,GR,ASW sonar,L,24,,2013-2016,Australia,France,N,2,48,48
66274,AUS,FRA,2022,,12,,0,VIA,FLASH,GR,ASW sonar,L,,,,Australia,France,N,2,24,0
35785,AUS,FRA,2003,,300,X,2017,LIC,MU90 IMPACT,MI,ASW torpedo,L,300,X,2008-2017,Australia,France,N,0.5,150,150
34228,AUS,FRA,2006,,35,,2018,LIC,NH-90 TTH,AC,transport helicopter,L,35,X,2011-2018,Australia,France,N,7,245,245
65763,AUS,FRA,2022,X,6,,0,N/A,ship engine,EN,ship engine,,,,,Australia,France,N,2.5,15,0
65766,AUS,FRA,2022,X,6,,0,N/A,Unidentified sonar,GR,SONAR,L,,,,Australia,France,N,0,0,0
36022,AUS,FRA,2005,,17,,2017,N/A,Vampyr,GR,air search system,L,17,X,2010-2017,Australia,France,N,2,34,34
52402,AUS,FRA,2009,X,2,,2015,N/A,Vampyr,GR,air search system,L,2,,2014-2015,Australia,France,N,2,4,4
57834,BAH,FRA,2009,X,20,X,2014,ASS,Black Scorpion,AV,APC/APV,,20,X,2011-2014,Bahrain,France,N,0.14,2.8,2.8
53597,BAN,FRA,2011,X,4,X,2017,VIA,ship engine,EN,ship engine,,4,,2017,Bangladesh,France,N,1.5,6,6
55353,BAN,FRA,2011,X,6,,2013,N/A,ship engine,EN,ship engine,,6,,2013,Bangladesh,France,N,1.5,9,9
58656,BAN,FRA,2012,,4,,2015,VIA,ship engine,EN,ship engine,,4,X,2015,Bangladesh,France,N,2.5,10,10
60460,BAN,FRA,2015,,4,,2019,VIA,ship engine,EN,ship engine,,4,,2019,Bangladesh,France,N,2.5,10,10
64105,BEL,FRA,2001,X,8,X,2015,VIA,aircraft engine,EN,aircraft engine,L,8,X,2013-2015,Belgium,France,N,0.75,6,6
30701,BEL,FRA,2022,,9,,0,N/A,CAESAR 155mm,AR,self-propelled gun,L,,,,Belgium,France,N,1.1,9.9,0
55579,BEL,FRA,2001,,4,,2014,N/A,ENR,GR,MP aircraft radar,L,4,,2013-2014,Belgium,France,N,3.5,14,14
55578,BEL,FRA,2001,X,4,,2015,N/A,FLASH,GR,ASW sonar,L,4,,2013-2015,Belgium,France,N,2,8,8
61063,BEL,FRA,2019,,382,,0,ASS,Griffon VBMR,AV,APC,,,,,Belgium,France,N,0,0,0
61064,BEL,FRA,2019,,60,,0,ASS,Jaguar EBRC,AV,armoured car,,,,,Belgium,France,N,0,0,0
59063,BEL,FRA,2019,,6,,0,LIC,MCM-2720,SH,MCM ship,,,,,Belgium,France,N,0,0,0
30707,BEL,FRA,2007,,4,,2014,N/A,NH-90 TTH,AC,transport helicopter,L,4,,2012-2014,Belgium,France,N,7,28,28
56433,BEL,FRA,2013,,2,,2015,N/A,PRDS,SH,patrol craft,L,2,,2014-2015,Belgium,France,N,18.45,36.9,36.9
61730,BEN,FRA,2015,X,6,X,2016,N/A,ACMAT APC,AV,APC,L,6,X,2016,Benin,France,N,0.16,0.96,0.96
53580,BEN,FRA,2010,X,4,,2013,N/A,LH-10 Ellipse,AC,trainer aircraft,L,4,X,2011-2013,Benin,France,N,0.11,0.44,0.44
63305,BF,FRA,2019,,6,,2020,N/A,Bastion,AV,APC/APV,L,6,X,2019-2020,Burkina Faso,France,N,0.16,0.96,0.96
55896,BHU,FRA,2015,,2,,2016,N/A,EC130,AC,light helicopter,L,2,X,2015-2016,Bhutan,France,N,0.95,1.9,1.9
56531,BOL,FRA,2013,,6,,2017,N/A,AS-532 Cougar/AS-332,AC,transport helicopter,L,6,,2014-2017,Bolivia,France,N,7.25,43.5,43.5
51173,BOL,FRA,2016,,4,,2020,N/A,Ground Master-400,GR,air search radar,L,4,X,2019-2020,Bolivia,France,N,13,52,52
61582,BOT,FRA,2016,,50,X,2020,N/A,MICA,MI,BVRAAM,L,50,X,2020,Botswana,France,N,0.4,20,20
59172,BOT,FRA,2015,,150,X,2016,N/A,MILAN,MI,anti-tank missile,L,150,X,2016,Botswana,France,N,0.01,1.5,1.5
59749,BOT,FRA,2016,,140,X,2020,N/A,Mistral,MI,portable SAM,L,140,X,2018-2020,Botswana,France,N,0.09,12.6,12.6
59748,BOT,FRA,2016,,1,X,2020,N/A,VL-MICA,AD,SAM system,L,1,X,2020,Botswana,France,N,20,20,20
53404,BRA,FRA,2011,X,16,X,0,LIC,AM-39 Exocet,MI,anti-ship missile,L,12,X,2021-2022,Brazil,France,N,0.9,14.4,10.8
58445,BRA,FRA,2022,,27,,0,LIC,AS-350/AS-550 Fennec,AC,light helicopter,L,,,,Brazil,France,N,0.9,24.3,0
50338,BRA,FRA,2008,,41,,0,LIC,EC725 Super Cougar,AC,transport helicopter,L,40,X,2010-2021,Brazil,France,N,7.5,307.5,300
60357,BRA,FRA,2012,,4,,0,LIC,EC725 Super Cougar,AC,anti-ship helicopter,,3,,2021-2022,Brazil,France,N,10.5,42,31.5
63523,BRA,FRA,2009,X,100,X,0,N/A,F21,MI,anti-ship/ASW torpedo,L,22,X,2020-2022,Brazil,France,N,1.2,120,26.4
58642,BRA,FRA,2015,,1,,2015,N/A,Foudre,SH,AALS,L,1,,2015,Brazil,France,S,40,40,40
50988,BRA,FRA,2009,,2,,0,LIC,P-400,SH,patrol craft,L,1,,2022,Brazil,France,N,19,38,19
34224,BRA,FRA,2009,,4,,0,LIC,Scorpene,SH,submarine,L,1,,2022,Brazil,France,N,299.52,1198.08,299.52
51196,BRA,FRA,2009,X,50,X,0,N/A,SM-39 Exocet,MI,anti-ship missile,L,10,X,2022,Brazil,France,N,0.9,45,9
36301,BRA,FRA,2009,,1,,0,LIC,SNBR,SH,nuclear submarine,,,,,Brazil,France,N,0,0,0
56874,BRU,FRA,2012,X,10,X,2014,N/A,MM-40-3 Exocet,MI,anti-ship/land-attack missile,L,10,X,2014,Brunei,France,N,1,10,10
66102,BUL,FRA,2022,,8,,0,N/A,MICA,MI,BVRAAM,L,,,,Bulgaria,France,N,0.4,3.2,0
66103,BUL,FRA,2022,,2,,0,N/A,VL-MICA,AD,SAM system,L,,,,Bulgaria,France,N,20,40,0
59221,CAM,FRA,2015,,23,X,2016,N/A,Bastion,AV,APC/APV,L,23,X,2015-2016,Cameroon,France,N,0.16,3.68,3.68
65184,CAM,FRA,2020,,33,,2022,PEAC,Bastion,AV,APC/APV,L,33,X,2021-2022,Cameroon,France,N,0.16,5.28,5.28
56940,CAM,FRA,2012,,1,,2017,N/A,Grèbe,SH,patrol craft,,1,,2017,Cameroon,France,R,7.92,7.92,7.92
63315,CHA,FRA,2019,,7,,2020,N/A,Bastion,AV,APC/APV,L,7,X,2019-2020,Chad,France,N,0.16,1.12,1.12
57832,CHA,FRA,2012,X,10,X,2013,N/A,Black Scorpion,AV,APC/APV,,10,X,2013,Chad,France,N,0.14,1.4,1.4
64293,CHA,FRA,2020,,12,X,2021,AID,ERC-90,AV,armoured car,L,12,X,2021,Chad,France,S,0.32,3.84,3.84
